Main Port Name,state,Latitude,Longitude
PORT MOLLER,Alaska,55.983333,-160.566667
PORT HEIDEN,Alaska,56.883333,-158.7
PILOT POINT,Alaska,57.566667,-157.6
UGASHIK,Alaska,57.533333,-157.416667
EGEGIK,Alaska,58.2,-157.366667
NAKNEK,Alaska,58.716667,-157.016667
KOGGIUNG,Alaska,58.966667,-156.916667
EKUK,Alaska,58.816667,-158.566667
ANACORTES,Washington,48.516667,-122.616667
BELLINGHAM,Washington,48.75,-122.5
CHERRY POINT,Washington,48.866667,-122.75
SEMIAHMOO,Washington,48.983333,-122.766667
BLAINE,Washington,49.0,-122.75
CLARKS POINT,Alaska,58.85,-158.55
DILLINGHAM,Alaska,59.033333,-158.483333
PLATINUM,Alaska,59.016667,-161.833333
BETHEL,Alaska,60.816667,-161.716667
NASH HARBOR,Alaska,60.2,-166.983333
KWIGUK,Alaska,62.733333,-164.466667
KOTLIK,Alaska,63.033333,-163.55
HAMILTON,Alaska,62.9,-163.916667
ST MICHAEL,Alaska,63.483333,-162.033333
UNALAKLEET,Alaska,63.883333,-160.783333
SOLOMON,Alaska,64.55,-164.4
GRANTLEY HARBOR,Alaska,65.266667,-166.333333
DEERING,Alaska,66.083333,-162.733333
KOTZEBUE,Alaska,66.916667,-162.583333
TEXAS CITY,Texas,29.383333,-94.916667
BAYTOWN,Texas,29.733333,-95.016667
NORSWORTHY,Texas,29.733333,-95.2
PASADENA,Texas,29.716667,-95.216667
SINCO,Texas,29.716667,-95.233333
HOUSTON,Texas,29.75,-95.283333
PALACIOS,Texas,28.683333,-96.216667
PORT LAVACA,Texas,28.616667,-96.616667
WESTPORT,Oregon,46.133333,-123.383333
RAINIER,Oregon,46.083333,-122.933333
LONGVIEW,Washington,46.133333,-122.933333
KALAMA,Oregon,46.016667,-122.85
ST HELENS,Oregon,45.866667,-122.8
PORTLAND,Oregon,45.516667,-122.666667
VANCOUVER,Oregon,45.633333,-122.683333
CAMAS,Oregon,45.583333,-122.4
PORT SOCONY,New Jersey,40.55,-74.25
BAYWAY,New Jersey,40.633333,-74.2
GRASSELLI,New Jersey,40.616667,-74.2
CARTERET,New Jersey,40.583333,-74.216667
CHROME,New Jersey,40.566667,-74.216667
PORT READING,New Jersey,40.566667,-74.233333
SEWAREN,New Jersey,40.55,-74.25
MAURER,New Jersey,40.533333,-74.25
PERTH AMBOY,New Jersey,40.5,-74.266667
SAYREVILLE,New Jersey,40.466667,-74.366667
SOUTH AMBOY,New Jersey,40.483333,-74.266667
LEONARDO,New Jersey,40.433333,-74.066667
SALEM NJ,New Jersey,39.666667,-75.483333
NEW CASTLE,Delaware,39.65,-75.566667
DEEPWATER POINT,New Jersey,39.7,-75.516667
WILMINGTON,Delaware,39.733333,-75.55
MARCUS HOOK,Pennsylvania,39.816667,-75.416667
CHESTER,Pennsylvania,39.85,-75.35
CITY ISLAND,New York,40.85,-73.783333
BEVERLY,Massachusetts,42.533333,-70.883333
SALEM,Massachusetts,42.516667,-70.883333
MARBLEHEAD,Massachusetts,42.5,-70.85
LYNN,Massachusetts,42.45,-70.95
BOSTON,Massachusetts,42.35,-71.05
QUINCY,Massachusetts,42.25,-70.966667
PORT OCONNOR,Texas,28.45,-96.4
ROCKPORT,Texas,28.016667,-97.05
CORPUS CHRISTI,Texas,27.816667,-97.4
PORT INGLESIDE,Texas,27.816667,-97.183333
BROWNSVILLE,Texas,25.95,-97.4
PLYMOUTH,Massachusetts,41.95,-70.666667
HYANNIS,Massachusetts,41.65,-70.283333
HYANNIS PORT,Massachusetts,41.633333,-70.3
FALMOUTH,Massachusetts,41.55,-70.616667
WOODS HOLE,Massachusetts,41.516667,-70.666667
NEW BEDFORD,Massachusetts,41.633333,-70.916667
NEWPORT,Rhode Island,41.5,-71.333333
FALL RIVER,Massachusetts,41.7,-71.166667
TIVERTON,Rhode Island,41.633333,-71.216667
BRISTOL,Rhode Island,41.666667,-71.266667
PROVIDENCE,Rhode Island,41.8,-71.4
QUONSET POINT,Rhode Island,41.583333,-71.4
DAVISVILLE DEPOT,Rhode Island,41.616667,-71.4
WAINWRIGHT,Alaska,70.65,-160.0
BARROW,Alaska,71.283333,-156.783333
PRUDHOE BAY,Alaska,70.333333,-148.416667
BERNARD HARBOR,Alaska,70.133333,-143.633333
SAN JUAN CANNERY,Alaska,60.05,-148.066667
LATOUCHE,Alaska,60.05,-148.066667
SEWARD,Alaska,60.1,-149.433333
SELDOVIA,Alaska,59.433333,-151.733333
HOMER,Alaska,59.6,-151.416667
COAL POINT,Alaska,59.6,-151.416667
WASHOUGAL,Oregon,45.583333,-122.35
THE DALLES,Oregon,45.6,-121.183333
SOUTH BEND,Washington,46.666667,-123.783333
RAYMOND,Washington,46.683333,-123.733333
WILLAPA HARBOR,Washington,46.683333,-123.75
BAY CITY,Washington,46.866667,-124.066667
ABERDEEN,Washington,46.983333,-123.816667
HOQUIAM,Washington,46.966667,-123.9
SEKIU,Washington,48.266667,-124.3
HOODSPORT,Washington,47.416667,-123.133333
SHELTON,Washington,47.216667,-123.1
OLYMPIA,Washington,47.05,-122.9
NISQUALLY HEAD,Washington,47.116667,-122.75
NINILCHIK,Alaska,60.05,-151.683333
KENAI,Alaska,60.55,-151.266667
NIKISKI,Alaska,60.683333,-151.4
ANCHORAGE,Alaska,61.216667,-149.9
DRIFT RIVER,Alaska,60.55,-152.133333
SNUG HARBOR,Alaska,60.1,-152.583333
WOMENS BAY,Alaska,57.716667,-152.516667
PORT HOBRON,Alaska,57.166667,-153.166667
MCCORD,Alaska,57.15,-153.2
THREE SAINTS BAY,Alaska,57.116667,-153.5
TRAP POINT,Alaska,57.0,-154.15
LAZY BAY,Alaska,56.9,-154.25
UYAK,Alaska,57.633333,-154.0
LARSEN BAY,Alaska,57.533333,-153.983333
PORT OBRIEN,Alaska,57.733333,-153.316667
PORT NECHES,Texas,30.0,-93.95
BEAUMONT,Texas,30.083333,-94.083333
JACKSONVILLE,Florida,30.316667,-81.65
ST AUGUSTINE,Florida,29.9,-81.316667
FORT PIERCE,Florida,27.466667,-80.316667
PORT EVERGLADES,Florida,26.1,-80.116667
MIAMI,Florida,25.783333,-80.183333
SEATTLE,Washington,47.6,-122.333333
POINT WELLS,Washington,47.783333,-122.4
EDWARDS POINT,Washington,47.8,-122.4
MUKILTEO,Washington,47.95,-122.3
EVERETT,Washington,48.0,-122.216667
WARRENTON,Oregon,46.166667,-123.916667
ASTORIA,Oregon,46.2,-123.833333
TONGUE POINT,Oregon,46.2,-123.75
SAN FRANCISCO,California,37.816667,-122.416667
YERBABUENA ISLAND,California,37.816667,-122.366667
REDWOOD CITY,California,37.533333,-122.2
ALAMEDA,California,37.783333,-122.266667
OAKLAND,California,37.816667,-122.333333
BERKELEY,California,37.866667,-122.3
POINT RICHMOND,California,37.916667,-122.366667
GREENPORT,New York,41.1,-72.366667
STONINGTON,Connecticut,41.333333,-71.9
NOANK,Connecticut,41.316667,-71.983333
MYSTIC,Connecticut,41.35,-71.966667
NEW LONDON,Connecticut,41.35,-72.083333
NORWICH,Connecticut,41.516667,-72.083333
ESSEX,Connecticut,41.35,-72.383333
NEW HAVEN,Connecticut,41.233333,-72.916667
PORT JEFFERSON,New York,40.95,-73.083333
BRIDGEPORT,Connecticut,41.166667,-73.183333
SOUTHPORT,Connecticut,41.133333,-73.283333
NORWALK,Connecticut,41.1,-73.416667
STAMFORD,Connecticut,41.033333,-73.55
GREENWICH,Connecticut,41.016667,-73.616667
PORT CHESTER,New York,41.0,-73.666667
NEWBURYPORT,Massachusetts,42.816667,-70.866667
WINTER HARBOR,Maine,44.383333,-68.083333
SORRENTO,Maine,44.466667,-68.183333
BAR HARBOR,Maine,44.383333,-68.2
NORTHEAST HARBOR,Maine,44.3,-68.283333
SOUTHWEST HARBOR,Maine,44.283333,-68.316667
MOUNT DESERT,Maine,44.366667,-68.333333
BASS HARBOR,Maine,44.233333,-68.35
PORT MANATEE,Florida,27.633333,-82.566667
TAMPA,Florida,27.916667,-82.45
ST PETERSBURG,Florida,27.766667,-82.616667
TARPON SPRINGS,Florida,28.15,-82.766667
CARRABELLE,Florida,29.85,-84.666667
APALACHICOLA,Florida,29.716667,-84.983333
PORT ST JOE,Florida,29.816667,-85.316667
PANAMA CITY,Florida,30.133333,-85.65
PENSACOLA,Florida,30.4,-87.216667
MOBILE,Alabama,30.683333,-88.116667
BILOXI,Mississippi,30.383333,-88.883333
GULFPORT,Mississippi,30.35,-89.083333
SLIDELL,Louisiana,30.266667,-89.783333
MADISONVILLE,Louisiana,30.4,-90.15
ELLSWORTH,Maine,44.55,-68.416667
BROOKLIN,Maine,44.266667,-68.583333
BUCKS HARBOR,Maine,44.333333,-68.733333
STONINGTON,Maine,44.15,-68.666667
NORTH HAVEN,Maine,44.133333,-68.866667
CASTINE,Maine,44.383333,-68.733333
SANDYPOINT,Maine,44.516667,-68.816667
BUCKSPORT,Maine,44.566667,-68.783333
WINTERPORT,Maine,44.633333,-68.85
BANGOR,Maine,44.8,-68.766667
SEARSPORT,Maine,44.45,-68.916667
BELFAST,Maine,44.416667,-69.0
CAMDEN,Maine,44.216667,-69.066667
ROCKPORT,Maine,44.183333,-69.066667
ROCKLAND,Maine,44.1,-69.1
